State,Jun 24 Value,Jun 24 Low CI,Jun 24 High CI,Urban,Rural,Conservative,Moderate,Liberal,Political Don't know,Political sum,Below Poverty Line,White,Black,AI_AN,Asian,NHPI,Hispanic,Multiple,Percent of total pop with at least one dose,Percent of pop with an updated (bivalent) booster dose,Percent of 5+ pop with a completed primary series,Percent of 12+ pop with at least one dose,Percent of 18+ pop with a completed primary series,Percent of 65+ pop with a completed primary series,Paid sick leave,Eviction moratoria duration,7/11/22,8/8/22,9/26/22,10/17/22,11/14/22,12/19/22,1/16/23,2/13/23,3/13/23,4/10/23,5/8/23,6/19/23,7/10/23,8/7/23,9/4/23,10/2/23,10/30/23,2/5/24,3/4/24,4/1/24,4/29/24,5/27/24,6/24/24,Avg
Oklahoma,9.2,6.7,12.3,64.6,35.4,38,37,19,6,100,15.6,0.634194239,0.074845266,0.082852629,0.024932584,0.002066521,0.096220707,0.084888054,74.9,12.1,64.7,86.1,72.3,93.6,0,0,7.7,9.7,10.5,7.8,9.5,6.1,6.1,7.3,8.1,8.4,8.2,7,6.1,7.4,7.4,6.3,6.8,8.5,8.4,9.2,6.4,4.7,9.2, 7.7 
Oregon,7,5.3,9,80.5,19.5,30,34,30,6,100,11.9,0.735432369,0.020436368,0.010858611,0.04953189,0.004293965,0.123121258,0.056325539,82,22.5,76.4,89.6,81.3,94.5,1,670,8.4,6.6,6.6,6,7.5,5.2,4.7,6,4.5,7.2,6.8,4.6,6,6.1,6.3,5.3,6.8,7.6,5.9,7.1,5.4,6.3,7, 6.3 
Pennsylvania,5.4,4.2,6.9,76.5,23.5,36,34,23,8,101,11.9,0.744882288,0.108190729,0.001459373,0.040083848,0.000320382,0.062982924,0.042080455,91.1,18.9,77.4,95,83.1,95,0,166,6.8,4.3,6.6,5.3,6.3,5.3,4.4,7,6.3,7.3,6.3,6.1,5.9,5.2,5.2,6.1,4.9,4,5.5,7,6.2,4.7,5.4, 5.7 
Rhode Island,4.7,2.8,7.4,91.1,8.9,26,35,30,8,99,10.8,0.698833537,0.062995207,0.004142689,0.0351356,0.000629952,0.128700397,0.069562618,95,25.9,92.2,95,95,95,1,107,,8.1,6.1,5.6,7.5,,10.2,4.9,6.6,6,5.6,7.8,7.8,5.4,5.3,3,5.2,5.6,4.4,3.6,3.4,7.4,4.7, 5.9 
South Carolina,4.7,3.5,6.1,67.9,32.1,43,35,15,6,99,14.1,0.634563174,0.256371916,0.003648559,0.019360796,0.000639264,0.054066589,0.031349702,71.2,11.7,63.5,79.9,69.6,91.9,0,59,10.5,7.7,8.2,7.6,7.9,5.8,6.2,5.7,7.2,5.2,4,7.1,6,8.2,4.4,5.4,5.1,6.9,6.1,8.3,6.7,7.5,4.7, 6.6 
South Dakota,10.3,6.4,15.6,57.2,42.8,47,32,15,5,99,11.2,0.807013225,0.024406918,0.077068752,0.017437438,0.000874894,0.035423335,0.037775438,84.3,17.6,71.2,95,78.5,95,0,0,7.6,9.7,8.1,6.5,7.6,5,5.8,5,8.6,9.5,7.7,8.4,10.1,7.2,8.2,6.3,5.8,8.4,7.4,8.2,4.2,5.5,10.3, 7.4 
Tennessee,5.7,3.9,8,66.2,33.8,46,27,19,8,100,13.4,0.729133431,0.16360297,0.002875199,0.020051085,0.000600737,0.053895296,0.029841283,64.6,10.6,59.9,73.1,66.3,86.8,0,80,9.3,7.1,9.1,7.1,7.2,7.1,8.1,6.4,5,6.9,6.8,6.2,7.2,5.2,5.8,6.2,8,7.4,6.4,7.4,8,7.5,5.7, 7.0 
Texas,5.4,4.2,6.8,83.7,16.3,39,32,21,7,99,13.9,0.397595111,0.12459778,0.003270276,0.055095091,0.000950996,0.376379157,0.042111589,77,11.4,68,87,74.1,89.2,0,70,7.4,8.2,7.4,7.1,6.3,6,6.5,4.3,4.7,6.2,4.8,5.1,6,5.8,4.3,4.3,5.2,6.6,6.9,6.9,4.2,5.1,5.4, 5.9 
Utah,4.6,3.4,6,89.8,10.2,45,31,20,4,100,8.1,0.766947468,0.012168126,0.008928952,0.026352934,0.010646593,0.133312825,0.041643102,81.4,17,73.5,90.5,79.1,94.4,0,45,11,8.1,5.8,8.4,7.7,6.1,8.9,8.3,5.1,8,8.2,7.2,7.2,6.3,6.7,4.5,6.3,6.6,8.9,10,5.8,6.5,4.6, 7.2 
Vermont,5.7,3.4,8.8,35.1,64.9,30,32,35,3,100,9.9,0.91937119,0.014018706,0.003236156,0.020328746,0.000299816,0.019004303,0.023741083,75.5,14.5,72.2,86.8,80,95,1,503,6.5,5.6,4.8,6.7,7.1,5.3,4.9,6.5,11.7,5.5,7.7,5.9,5.4,5.9,5.1,6.2,4,7.7,10.4,,8.1,3.4,5.7, 6.4 
Virginia,5.4,4.3,6.7,75.6,24.4,39,37,19,5,100,10.7,0.598374249,0.191637611,0.002672503,0.071911953,0.000746578,0.086516693,0.048140412,95,34.3,89.3,95,91.7,95,0,113,4.9,6.9,6,5.1,6.6,6.2,4.9,5.5,5.4,5.6,4.9,5.1,5.4,4.6,5.7,4.3,4.2,5.6,5.6,5.5,4.7,4.9,5.4, 5.3 
Washington,5.7,4.2,7.4,83.4,16.6,30,33,30,7,100,10,0.651429926,0.041584498,0.012097558,0.102047115,0.007586132,0.116932574,0.068322196,91.3,21,81,95,85.4,95,1,593,7,7,7.1,6.6,6.9,4.6,7.9,5.4,5.3,6.2,6.3,6.2,6.7,6.5,7.1,5.8,5.2,7.4,8.7,7.2,6.2,8.1,5.7, 6.6 
West Virginia,7.8,5.6,10.6,44.6,55.4,47,30,16,6,99,17.8,0.911619035,0.036015426,0.002197553,0.008936679,0.000239979,0.01676923,0.024222097,85.6,26.1,80.4,94.2,85.6,95,0,56,8.3,7,16.5,9.3,6.4,7.2,9,10.8,12.5,5.3,6.6,10.2,7.3,9,6.6,10.3,6.7,9.2,9.3,9.2,8.2,6.4,7.8, 8.7 
Wisconsin,5.5,3.9,7.5,67.1,32.9,41,36,19,4,100,10.7,0.801027028,0.062728308,0.00885883,0.031736235,0.000408483,0.065111491,0.030129627,67.6,11.7,62.9,75.6,69,87.7,0,60,8.7,7.3,5.1,8.9,6.8,4.5,7.2,5,6,3.9,6.1,5.1,5.3,5.5,5.8,5.6,5.8,5,7.4,6.7,5.7,5.4,5.5, 6.0 
Wyoming,5.5,3.5,8.1,62,38,41,33,17,9,100,11.6,0.830723742,0.010327135,0.020342942,0.010187811,0.000718978,0.092204596,0.035494796,75.3,22.9,72,83.1,77.7,95,0,0,9.5,5.4,10.2,9.3,8.2,6.5,6.4,9.7,5.4,5.9,6.8,4.9,5.6,6.3,5.9,9.5,4.7,4.7,6,9.8,7.5,7.2,5.5, 7.0 
United States,6.7,6.3,7.2,,,,,,,,12.6,0.588758752,0.126228748,0.007263914,0.06083643,0.001908046,0.166151441,0.04885267,61.1,11.4,56.4,69.8,63.3,87.9,,,7.6,7.6,7.2,7,6.8,5.8,5.9,5.8,6,6.1,5.6,6,5.8,5.8,5.5,5.3,5.3,6.8,6.7,6.9,5.3,6,5.3, 6.2 
